STATE,NAME,YEAR,AGE,SEX,LaunchYear,Mean,Lower80,Upper80
72,Puerto Rico,2005,12,1,2015,103417,103417,103417
72,Puerto Rico,2006,12,1,2015,102475,102475,102475
72,Puerto Rico,2007,12,1,2015,101846,101846,101846
72,Puerto Rico,2008,12,1,2015,101947,101947,101947
72,Puerto Rico,2000,12,2,2015,107988,107988,107988
72,Puerto Rico,2001,12,2,2015,112447,112447,112447
72,Puerto Rico,2002,12,2,2015,116070,116070,116070
72,Puerto Rico,2003,12,2,2015,119032,119032,119032
72,Puerto Rico,2004,12,2,2015,121822,121822,121822
72,Puerto Rico,2005,12,2,2015,121827,121827,121827
72,Puerto Rico,2006,12,2,2015,121135,121135,121135
72,Puerto Rico,2007,12,2,2015,120788,120788,120788
72,Puerto Rico,2008,12,2,2015,121026,121026,121026
72,Puerto Rico,2000,13,1,2015,75636,75636,75636
72,Puerto Rico,2001,13,1,2015,77521,77521,77521
72,Puerto Rico,2002,13,1,2015,79818,79818,79818
72,Puerto Rico,2003,13,1,2015,82224,82224,82224
72,Puerto Rico,2004,13,1,2015,85146,85146,85146
72,Puerto Rico,2005,13,1,2015,89106,89106,89106
72,Puerto Rico,2006,13,1,2015,92856,92856,92856
72,Puerto Rico,2007,13,1,2015,95819,95819,95819
72,Puerto Rico,2008,13,1,2015,98310,98310,98310
72,Puerto Rico,2000,13,2,2015,88472,88472,88472
72,Puerto Rico,2001,13,2,2015,91207,91207,91207
72,Puerto Rico,2002,13,2,2015,94276,94276,94276
72,Puerto Rico,2003,13,2,2015,97146,97146,97146
72,Puerto Rico,2004,13,2,2015,100220,100220,100220
72,Puerto Rico,2005,13,2,2015,105019,105019,105019
72,Puerto Rico,2006,13,2,2015,109314,109314,109314
72,Puerto Rico,2007,13,2,2015,112832,112832,112832
72,Puerto Rico,2008,13,2,2015,115798,115798,115798
72,Puerto Rico,2000,14,1,2015,63339,63339,63339
72,Puerto Rico,2001,14,1,2015,65271,65271,65271
72,Puerto Rico,2002,14,1,2015,67270,67270,67270
72,Puerto Rico,2003,14,1,2015,69506,69506,69506
72,Puerto Rico,2004,14,1,2015,70519,70519,70519
72,Puerto Rico,2005,14,1,2015,71626,71626,71626
72,Puerto Rico,2006,14,1,2015,73438,73438,73438
72,Puerto Rico,2007,14,1,2015,75619,75619,75619
72,Puerto Rico,2008,14,1,2015,77970,77970,77970
72,Puerto Rico,2000,14,2,2015,75394,75394,75394
72,Puerto Rico,2001,14,2,2015,76999,76999,76999
72,Puerto Rico,2002,14,2,2015,79075,79075,79075
72,Puerto Rico,2003,14,2,2015,81385,81385,81385
72,Puerto Rico,2004,14,2,2015,83089,83089,83089
72,Puerto Rico,2005,14,2,2015,84754,84754,84754
72,Puerto Rico,2006,14,2,2015,87245,87245,87245
72,Puerto Rico,2007,14,2,2015,90107,90107,90107
72,Puerto Rico,2008,14,2,2015,92882,92882,92882
72,Puerto Rico,2000,15,1,2015,48960,48960,48960
72,Puerto Rico,2001,15,1,2015,50030,50030,50030
72,Puerto Rico,2002,15,1,2015,51266,51266,51266
72,Puerto Rico,2003,15,1,2015,52275,52275,52275
72,Puerto Rico,2004,15,1,2015,54682,54682,54682
72,Puerto Rico,2005,15,1,2015,56296,56296,56296
72,Puerto Rico,2006,15,1,2015,57865,57865,57865
72,Puerto Rico,2007,15,1,2015,59460,59460,59460
72,Puerto Rico,2008,15,1,2015,61201,61201,61201
72,Puerto Rico,2000,15,2,2015,60814,60814,60814
72,Puerto Rico,2001,15,2,2015,62309,62309,62309
72,Puerto Rico,2002,15,2,2015,63556,63556,63556
72,Puerto Rico,2003,15,2,2015,64683,64683,64683
72,Puerto Rico,2004,15,2,2015,67528,67528,67528
72,Puerto Rico,2005,15,2,2015,68829,68829,68829
72,Puerto Rico,2006,15,2,2015,70053,70053,70053
72,Puerto Rico,2007,15,2,2015,71642,71642,71642
72,Puerto Rico,2008,15,2,2015,73458,73458,73458
72,Puerto Rico,2000,16,1,2015,36640,36640,36640
72,Puerto Rico,2001,16,1,2015,37247,37247,37247
72,Puerto Rico,2002,16,1,2015,37905,37905,37905
72,Puerto Rico,2003,16,1,2015,38493,38493,38493
72,Puerto Rico,2004,16,1,2015,38658,38658,38658
72,Puerto Rico,2005,16,1,2015,39637,39637,39637
72,Puerto Rico,2006,16,1,2015,40479,40479,40479
72,Puerto Rico,2007,16,1,2015,41463,41463,41463
72,Puerto Rico,2008,16,1,2015,42200,42200,42200
72,Puerto Rico,2000,16,2,2015,48505,48505,48505
72,Puerto Rico,2001,16,2,2015,49465,49465,49465
72,Puerto Rico,2002,16,2,2015,50399,50399,50399
72,Puerto Rico,2003,16,2,2015,51324,51324,51324
72,Puerto Rico,2004,16,2,2015,51252,51252,51252
72,Puerto Rico,2005,16,2,2015,52346,52346,52346
72,Puerto Rico,2006,16,2,2015,53486,53486,53486
72,Puerto Rico,2007,16,2,2015,54428,54428,54428
72,Puerto Rico,2008,16,2,2015,55303,55303,55303
72,Puerto Rico,2000,17,1,2015,23497,23497,23497
72,Puerto Rico,2001,17,1,2015,24284,24284,24284
72,Puerto Rico,2002,17,1,2015,24931,24931,24931
72,Puerto Rico,2003,17,1,2015,25374,25374,25374
72,Puerto Rico,2004,17,1,2015,25776,25776,25776
72,Puerto Rico,2005,17,1,2015,26126,26126,26126
72,Puerto Rico,2006,17,1,2015,26554,26554,26554
72,Puerto Rico,2007,17,1,2015,27001,27001,27001
72,Puerto Rico,2008,17,1,2015,27454,27454,27454
72,Puerto Rico,2000,17,2,2015,32088,32088,32088
72,Puerto Rico,2001,17,2,2015,33410,33410,33410
72,Puerto Rico,2002,17,2,2015,34689,34689,34689
72,Puerto Rico,2003,17,2,2015,35844,35844,35844
72,Puerto Rico,2004,17,2,2015,36873,36873,36873
72,Puerto Rico,2005,17,2,2015,37661,37661,37661
72,Puerto Rico,2006,17,2,2015,38296,38296,38296
72,Puerto Rico,2007,17,2,2015,38829,38829,38829
72,Puerto Rico,2008,17,2,2015,39461,39461,39461
72,Puerto Rico,2000,18,1,2015,19252,19252,19252
72,Puerto Rico,2001,18,1,2015,19307,19307,19307
72,Puerto Rico,2002,18,1,2015,19532,19532,19532
72,Puerto Rico,2003,18,1,2015,19915,19915,19915
72,Puerto Rico,2004,18,1,2015,20427,20427,20427
72,Puerto Rico,2005,18,1,2015,20932,20932,20932
72,Puerto Rico,2006,18,1,2015,21513,21513,21513
72,Puerto Rico,2007,18,1,2015,22089,22089,22089
72,Puerto Rico,2008,18,1,2015,22730,22730,22730
72,Puerto Rico,2000,18,2,2015,29391,29391,29391
72,Puerto Rico,2001,18,2,2015,29937,29937,29937
72,Puerto Rico,2002,18,2,2015,30747,30747,30747
72,Puerto Rico,2003,18,2,2015,31699,31699,31699
72,Puerto Rico,2004,18,2,2015,32826,32826,32826
72,Puerto Rico,2005,18,2,2015,33966,33966,33966
72,Puerto Rico,2006,18,2,2015,35182,35182,35182
72,Puerto Rico,2007,18,2,2015,36481,36481,36481
72,Puerto Rico,2008,18,2,2015,37992,37992,37992
72,Puerto Rico,2010,1,1,2015,113948,113948,113948
72,Puerto Rico,2010,2,1,2015,122270,122270,122270
72,Puerto Rico,2010,3,1,2015,136801,136801,136801
72,Puerto Rico,2010,4,1,2015,144217,144217,144217
72,Puerto Rico,2010,5,1,2015,131268,131268,131268
72,Puerto Rico,2010,6,1,2015,117769,117769,117769
72,Puerto Rico,2010,7,1,2015,119411,119411,119411
72,Puerto Rico,2010,8,1,2015,115433,115433,115433
72,Puerto Rico,2010,9,1,2015,114787,114787,114787
72,Puerto Rico,2010,10,1,2015,115450,115450,115450
72,Puerto Rico,2010,11,1,2015,110657,110657,110657
72,Puerto Rico,2010,12,1,2015,102341,102341,102341
72,Puerto Rico,2010,13,1,2015,99948,99948,99948
72,Puerto Rico,2010,14,1,2015,81028,81028,81028
72,Puerto Rico,2010,15,1,2015,62033,62033,62033
72,Puerto Rico,2010,16,1,2015,43976,43976,43976
72,Puerto Rico,2010,17,1,2015,27843,27843,27843
72,Puerto Rico,2010,18,1,2015,23602,23602,23602
72,Puerto Rico,2010,1,2,2015,108371,108371,108371
72,Puerto Rico,2010,2,2,2015,115784,115784,115784
72,Puerto Rico,2010,3,2,2015,130668,130668,130668
72,Puerto Rico,2010,4,2,2015,138682,138682,138682
72,Puerto Rico,2010,5,2,2015,130897,130897,130897
72,Puerto Rico,2010,6,2,2015,124700,124700,124700
72,Puerto Rico,2010,7,2,2015,128372,128372,128372
72,Puerto Rico,2010,8,2,2015,124848,124848,124848
72,Puerto Rico,2010,9,2,2015,126901,126901,126901
72,Puerto Rico,2010,10,2,2015,132380,132380,132380
72,Puerto Rico,2010,11,2,2015,129118,129118,129118
72,Puerto Rico,2010,12,2,2015,121649,121649,121649
72,Puerto Rico,2010,13,2,2015,117971,117971,117971
72,Puerto Rico,2010,14,2,2015,96386,96386,96386
72,Puerto Rico,2010,15,2,2015,74983,74983,74983
72,Puerto Rico,2010,16,2,2015,57523,57523,57523
72,Puerto Rico,2010,17,2,2015,39724,39724,39724
72,Puerto Rico,2010,18,2,2015,39786,39786,39786
72,Puerto Rico,2011,1,1,2015,109273,109273,109273
72,Puerto Rico,2011,2,1,2015,117830,117830,117830
72,Puerto Rico,2011,3,1,2015,133296,133296,133296
72,Puerto Rico,2011,4,1,2015,140690,140690,140690
72,Puerto Rico,2011,5,1,2015,132905,132905,132905
72,Puerto Rico,2011,6,1,2015,114401,114401,114401
72,Puerto Rico,2011,7,1,2015,117297,117297,117297
72,Puerto Rico,2011,8,1,2015,112635,112635,112635
72,Puerto Rico,2011,9,1,2015,113428,113428,113428
72,Puerto Rico,2011,10,1,2015,114768,114768,114768
72,Puerto Rico,2011,11,1,2015,110266,110266,110266
72,Puerto Rico,2011,12,1,2015,102603,102603,102603
72,Puerto Rico,2011,13,1,2015,98590,98590,98590
72,Puerto Rico,2011,14,1,2015,84114,84114,84114
72,Puerto Rico,2011,15,1,2015,63207,63207,63207
72,Puerto Rico,2011,16,1,2015,45248,45248,45248
72,Puerto Rico,2011,17,1,2015,28641,28641,28641
72,Puerto Rico,2011,18,1,2015,24249,24249,24249
72,Puerto Rico,2011,1,2,2015,104188,104188,104188
72,Puerto Rico,2011,2,2,2015,111079,111079,111079
72,Puerto Rico,2011,3,2,2015,126549,126549,126549
72,Puerto Rico,2011,4,2,2015,134268,134268,134268
