Var1,YEAR,SEX,COUNTYRACE,TYPE,AGE,A,B,C,STATE,COUNTY,GEOID,RACE
a3,2020,2,72_0,Mult,3,87525.28717646498,85192.61727406448,89857.95707886548,72,000,72000,0
a3,2025,1,72_0,Mult,3,71141.05340023882,67952.10300211272,74401.08377066275,72,000,72000,0
a3,2025,2,72_0,Mult,3,67447.0639014437,63886.83017221722,71103.82575554214,72,000,72000,0
a3,2030,1,72_0,Mult,3,61499.26476854288,56008.96724041121,67380.9431272875,72,000,72000,0
a3,2030,2,72_0,Mult,3,58278.84583850423,52633.7441149883,64364.89332114007,72,000,72000,0
a3,2035,1,72_0,Mult,3,53590.93224970143,43968.45181896114,64586.54072214012,72,000,72000,0
a3,2035,2,72_0,Mult,3,50784.634428989346,41318.81654303472,61695.57163527592,72,000,72000,0
a3,2040,1,72_0,Mult,3,45630.8230614594,34918.58886092926,58418.25317808302,72,000,72000,0
a3,2040,2,72_0,Mult,3,43241.35764372755,32814.318162191805,55803.38385456542,72,000,72000,0
a3,2045,1,72_0,Mult,3,39002.5437961281,28036.391316819158,52668.535426094706,72,000,72000,0
a3,2045,2,72_0,Mult,3,36960.16929240948,26346.856926375018,50311.030192576975,72,000,72000,0
a4,2020,1,72_0,Mult,4,101390.90381710223,98250.7856936935,104531.02194051097,72,000,72000,0
a4,2020,2,72_0,Mult,4,95519.65353876905,92202.68969565505,98836.61738188307,72,000,72000,0
a4,2025,1,72_0,Mult,4,83718.0875028698,79590.60572075212,87943.6679046404,72,000,72000,0
a4,2025,2,72_0,Mult,4,79458.50106900216,74655.12659438369,84408.95028865582,72,000,72000,0
a4,2030,1,72_0,Mult,4,64560.802888797916,59756.97032442482,69610.39445091915,72,000,72000,0
a4,2030,2,72_0,Mult,4,61230.79137471245,55984.656262846845,66792.0737199179,72,000,72000,0
a4,2035,1,72_0,Mult,4,55810.83946269711,49254.1959030006,63042.28099718783,72,000,72000,0
a4,2035,2,72_0,Mult,4,52907.56401658722,46123.466513536565,60461.79166871553,72,000,72000,0
a4,2040,1,72_0,Mult,4,48633.99469409997,38665.7859650771,60427.81029570583,72,000,72000,0
a4,2040,2,72_0,Mult,4,46104.058144122195,36208.084437962774,57954.338252110625,72,000,72000,0
a4,2045,1,72_0,Mult,4,41410.16238191667,30707.3510038161,54656.69907974509,72,000,72000,0
a4,2045,2,72_0,Mult,4,39256.009016364835,28755.509044004946,52419.45406776504,72,000,72000,0
a5,2020,1,72_0,Mult,5,107979.15452969605,105920.08472736951,110038.2243320226,72,000,72000,0
a5,2020,2,72_0,Mult,5,104353.97657863167,102502.21990715414,106205.73325010919,72,000,72000,0
a5,2025,1,72_0,Mult,5,88276.92365080173,83911.72024840057,92746.39608083795,72,000,72000,0
a5,2025,2,72_0,Mult,5,84031.83011451457,79674.42568888154,88492.79565843348,72,000,72000,0
a5,2030,1,72_0,Mult,5,72889.92345914364,67974.87261284249,78029.06835568228,72,000,72000,0
a5,2030,2,72_0,Mult,5,69902.29775356458,64511.18026786334,75575.06709053033,72,000,72000,0
a5,2035,1,72_0,Mult,5,56210.457278590206,51035.827768214665,61762.65280140963,72,000,72000,0
a5,2035,2,72_0,Mult,5,53866.7726269417,48377.60535896781,59801.898201983044,72,000,72000,0
a5,2040,1,72_0,Mult,5,48592.22108349162,42065.86520903305,55935.015793992585,72,000,72000,0
a5,2040,2,72_0,Mult,5,46544.55147714886,39856.32867518787,54134.116656476785,72,000,72000,0
a5,2045,1,72_0,Mult,5,42343.63512716206,33022.76508201339,53615.295478243694,72,000,72000,0
a5,2045,2,72_0,Mult,5,40559.280085580845,31288.223178864155,51889.082693392855,72,000,72000,0
a6,2020,1,72_0,Mult,6,107122.90252535729,104222.1701973854,110023.63485332919,72,000,72000,0
a6,2020,2,72_0,Mult,6,107564.81869847843,105092.12592860148,110037.51146835538,72,000,72000,0
a6,2025,1,72_0,Mult,6,91859.50274739815,87667.83219460922,96146.03929301052,72,000,72000,0
a6,2025,2,72_0,Mult,6,90990.13943520976,87320.96497688808,94733.54725901593,72,000,72000,0
a6,2030,1,72_0,Mult,6,75098.51643080378,69451.97059493011,81037.28223537262,72,000,72000,0
a6,2030,2,72_0,Mult,6,73270.49902457868,67874.11766724983,78933.93494914766,72,000,72000,0
a6,2035,1,72_0,Mult,6,62008.56223977413,56261.37612154654,68177.99830616855,72,000,72000,0
a6,2035,2,72_0,Mult,6,60950.43071641602,54956.6489183386,67411.56028708737,72,000,72000,0
a6,2040,1,72_0,Mult,6,47819.08764987714,42241.2840417668,53965.19690437054,72,000,72000,0
a6,2040,2,72_0,Mult,6,46968.45595104808,41212.56287954112,53342.18573826942,72,000,72000,0
a6,2045,1,72_0,Mult,6,41338.13869503486,34817.03419855398,48873.29161326102,72,000,72000,0
a6,2045,2,72_0,Mult,6,40583.93716950393,33953.34348373964,48286.62956004922,72,000,72000,0
a7,2020,1,72_0,Mult,7,92788.66552794965,89173.03797501593,96404.29308088336,72,000,72000,0
a7,2020,2,72_0,Mult,7,99055.96102475021,96285.97540978114,101825.9466397193,72,000,72000,0
a7,2025,1,72_0,Mult,7,89583.17867270387,83761.19850075727,95594.20617383865,72,000,72000,0
a7,2025,2,72_0,Mult,7,93451.23920003159,88749.80575465676,98272.81935118102,72,000,72000,0
a7,2030,1,72_0,Mult,7,76818.92530365278,70456.82008613515,83536.63569856081,72,000,72000,0
a7,2030,2,72_0,Mult,7,79051.32354696468,73742.14396683803,84605.08286721059,72,000,72000,0
a7,2035,1,72_0,Mult,7,62802.29210446558,55817.109586695566,70409.36864249906,72,000,72000,0
a7,2035,2,72_0,Mult,7,63656.67709481708,57319.37293598625,70494.69064162033,72,000,72000,0
a7,2040,1,72_0,Mult,7,51855.616113914075,45216.10214331198,59236.55981087857,72,000,72000,0
a7,2040,2,72_0,Mult,7,52953.12490779402,46410.63137064206,60204.23397324217,72,000,72000,0
a7,2045,1,72_0,Mult,7,39989.44923930349,33948.44466247797,46887.745219154596,72,000,72000,0
a7,2045,2,72_0,Mult,7,40805.725004207445,34803.81539427409,47639.090641936375,72,000,72000,0
a8,2020,1,72_0,Mult,8,87227.88777096034,83652.31249342047,90803.46304850021,72,000,72000,0
a8,2020,2,72_0,Mult,8,98209.18235778419,94866.84899873636,101551.515716832,72,000,72000,0
a8,2025,1,72_0,Mult,8,81387.66682845303,75010.11431892046,88025.21608984462,72,000,72000,0
a8,2025,2,72_0,Mult,8,89175.13763651681,83731.44521450669,94788.563864707,72,000,72000,0
a8,2030,1,72_0,Mult,8,78576.04005579355,70457.81121410168,87285.5387086274,72,000,72000,0
a8,2030,2,72_0,Mult,8,84129.48632019883,77177.90121269588,91480.99988888956,72,000,72000,0
a8,2035,1,72_0,Mult,8,67380.1381145013,59266.50307337659,76275.96421058745,72,000,72000,0
a8,2035,2,72_0,Mult,8,71165.96098530633,64127.0575624488,78757.86639148426,72,000,72000,0
a8,2040,1,72_0,Mult,8,55085.73700008439,46951.94720429729,64289.6668959083,72,000,72000,0
a8,2040,2,72_0,Mult,8,57306.92916093421,49845.61785133937,65622.66992369413,72,000,72000,0
