STATE,NAME,POPULATION,YEAR,AGE,SEX,RACE,COUNTY
72,Puerto Rico,126837,2005,7,2,0,000
72,Puerto Rico,126329,2006,7,2,0,000
72,Puerto Rico,126989,2007,7,2,0,000
72,Puerto Rico,127751,2008,7,2,0,000
72,Puerto Rico,265212,2000,8,0,0,000
72,Puerto Rico,263351,2001,8,0,0,000
72,Puerto Rico,259177,2002,8,0,0,000
72,Puerto Rico,254795,2003,8,0,0,000
72,Puerto Rico,251392,2004,8,0,0,000
72,Puerto Rico,248540,2005,8,0,0,000
72,Puerto Rico,246716,2006,8,0,0,000
72,Puerto Rico,244913,2007,8,0,0,000
72,Puerto Rico,242942,2008,8,0,0,000
72,Puerto Rico,124760,2000,8,1,0,000
72,Puerto Rico,124086,2001,8,1,0,000
72,Puerto Rico,122485,2002,8,1,0,000
72,Puerto Rico,120893,2003,8,1,0,000
72,Puerto Rico,119731,2004,8,1,0,000
72,Puerto Rico,118851,2005,8,1,0,000
72,Puerto Rico,118386,2006,8,1,0,000
72,Puerto Rico,117889,2007,8,1,0,000
72,Puerto Rico,116878,2008,8,1,0,000
72,Puerto Rico,140452,2000,8,2,0,000
72,Puerto Rico,139265,2001,8,2,0,000
72,Puerto Rico,136692,2002,8,2,0,000
72,Puerto Rico,133902,2003,8,2,0,000
72,Puerto Rico,131661,2004,8,2,0,000
72,Puerto Rico,129689,2005,8,2,0,000
72,Puerto Rico,128330,2006,8,2,0,000
72,Puerto Rico,127024,2007,8,2,0,000
72,Puerto Rico,126064,2008,8,2,0,000
72,Puerto Rico,252775,2000,9,0,0,000
72,Puerto Rico,253008,2001,9,0,0,000
72,Puerto Rico,254786,2002,9,0,0,000
72,Puerto Rico,257145,2003,9,0,0,000
72,Puerto Rico,257713,2004,9,0,0,000
72,Puerto Rico,257531,2005,9,0,0,000
72,Puerto Rico,254988,2006,9,0,0,000
72,Puerto Rico,250141,2007,9,0,0,000
72,Puerto Rico,244994,2008,9,0,0,000
72,Puerto Rico,117338,2000,9,1,0,000
72,Puerto Rico,117507,2001,9,1,0,000
72,Puerto Rico,118339,2002,9,1,0,000
72,Puerto Rico,119781,2003,9,1,0,000
72,Puerto Rico,120363,2004,9,1,0,000
72,Puerto Rico,120495,2005,9,1,0,000
72,Puerto Rico,119571,2006,9,1,0,000
72,Puerto Rico,117762,2007,9,1,0,000
72,Puerto Rico,115863,2008,9,1,0,000
72,Puerto Rico,135437,2000,9,2,0,000
72,Puerto Rico,135501,2001,9,2,0,000
72,Puerto Rico,136447,2002,9,2,0,000
72,Puerto Rico,137364,2003,9,2,0,000
72,Puerto Rico,137350,2004,9,2,0,000
72,Puerto Rico,137036,2005,9,2,0,000
72,Puerto Rico,135417,2006,9,2,0,000
72,Puerto Rico,132379,2007,9,2,0,000
72,Puerto Rico,129131,2008,9,2,0,000
72,Puerto Rico,235779,2000,10,0,0,000
72,Puerto Rico,239003,2001,10,0,0,000
72,Puerto Rico,241362,2002,10,0,0,000
72,Puerto Rico,243102,2003,10,0,0,000
72,Puerto Rico,244758,2004,10,0,0,000
72,Puerto Rico,245736,2005,10,0,0,000
72,Puerto Rico,245298,2006,10,0,0,000
72,Puerto Rico,246276,2007,10,0,0,000
72,Puerto Rico,247874,2008,10,0,0,000
72,Puerto Rico,108550,2000,10,1,0,000
72,Puerto Rico,110081,2001,10,1,0,000
72,Puerto Rico,111316,2002,10,1,0,000
72,Puerto Rico,112136,2003,10,1,0,000
72,Puerto Rico,112946,2004,10,1,0,000
72,Puerto Rico,113576,2005,10,1,0,000
72,Puerto Rico,113488,2006,10,1,0,000
72,Puerto Rico,114012,2007,10,1,0,000
72,Puerto Rico,115135,2008,10,1,0,000
72,Puerto Rico,127229,2000,10,2,0,000
72,Puerto Rico,128922,2001,10,2,0,000
72,Puerto Rico,130046,2002,10,2,0,000
72,Puerto Rico,130966,2003,10,2,0,000
72,Puerto Rico,131812,2004,10,2,0,000
72,Puerto Rico,132160,2005,10,2,0,000
72,Puerto Rico,131810,2006,10,2,0,000
72,Puerto Rico,132264,2007,10,2,0,000
72,Puerto Rico,132739,2008,10,2,0,000
72,Puerto Rico,230149,2000,11,0,0,000
72,Puerto Rico,228673,2001,11,0,0,000
72,Puerto Rico,227844,2002,11,0,0,000
72,Puerto Rico,228339,2003,11,0,0,000
72,Puerto Rico,229147,2004,11,0,0,000
72,Puerto Rico,231423,2005,11,0,0,000
72,Puerto Rico,234551,2006,11,0,0,000
72,Puerto Rico,236813,2007,11,0,0,000
72,Puerto Rico,238455,2008,11,0,0,000
72,Puerto Rico,106234,2000,11,1,0,000
72,Puerto Rico,105400,2001,11,1,0,000
72,Puerto Rico,104889,2002,11,1,0,000
72,Puerto Rico,105088,2003,11,1,0,000
72,Puerto Rico,105484,2004,11,1,0,000
72,Puerto Rico,106311,2005,11,1,0,000
72,Puerto Rico,107826,2006,11,1,0,000
72,Puerto Rico,109082,2007,11,1,0,000
72,Puerto Rico,109888,2008,11,1,0,000
72,Puerto Rico,123915,2000,11,2,0,000
72,Puerto Rico,123273,2001,11,2,0,000
72,Puerto Rico,122955,2002,11,2,0,000
72,Puerto Rico,123251,2003,11,2,0,000
72,Puerto Rico,123663,2004,11,2,0,000
72,Puerto Rico,125112,2005,11,2,0,000
72,Puerto Rico,126725,2006,11,2,0,000
72,Puerto Rico,127731,2007,11,2,0,000
72,Puerto Rico,128567,2008,11,2,0,000
72,Puerto Rico,200059,2000,12,0,0,000
72,Puerto Rico,208299,2001,12,0,0,000
72,Puerto Rico,214909,2002,12,0,0,000
72,Puerto Rico,220263,2003,12,0,0,000
72,Puerto Rico,225245,2004,12,0,0,000
72,Puerto Rico,225244,2005,12,0,0,000
72,Puerto Rico,223610,2006,12,0,0,000
72,Puerto Rico,222634,2007,12,0,0,000
72,Puerto Rico,222973,2008,12,0,0,000
72,Puerto Rico,92071,2000,12,1,0,000
72,Puerto Rico,95852,2001,12,1,0,000
72,Puerto Rico,98839,2002,12,1,0,000
72,Puerto Rico,101231,2003,12,1,0,000
72,Puerto Rico,103423,2004,12,1,0,000
72,Puerto Rico,103417,2005,12,1,0,000
72,Puerto Rico,102475,2006,12,1,0,000
72,Puerto Rico,101846,2007,12,1,0,000
72,Puerto Rico,101947,2008,12,1,0,000
72,Puerto Rico,107988,2000,12,2,0,000
72,Puerto Rico,112447,2001,12,2,0,000
72,Puerto Rico,116070,2002,12,2,0,000
72,Puerto Rico,119032,2003,12,2,0,000
72,Puerto Rico,121822,2004,12,2,0,000
72,Puerto Rico,121827,2005,12,2,0,000
72,Puerto Rico,121135,2006,12,2,0,000
72,Puerto Rico,120788,2007,12,2,0,000
72,Puerto Rico,121026,2008,12,2,0,000
72,Puerto Rico,164108,2000,13,0,0,000
72,Puerto Rico,168728,2001,13,0,0,000
72,Puerto Rico,174094,2002,13,0,0,000
72,Puerto Rico,179370,2003,13,0,0,000
72,Puerto Rico,185366,2004,13,0,0,000
72,Puerto Rico,194125,2005,13,0,0,000
72,Puerto Rico,202170,2006,13,0,0,000
72,Puerto Rico,208651,2007,13,0,0,000
72,Puerto Rico,214108,2008,13,0,0,000
72,Puerto Rico,75636,2000,13,1,0,000
72,Puerto Rico,77521,2001,13,1,0,000
72,Puerto Rico,79818,2002,13,1,0,000
72,Puerto Rico,82224,2003,13,1,0,000
72,Puerto Rico,85146,2004,13,1,0,000
72,Puerto Rico,89106,2005,13,1,0,000
72,Puerto Rico,92856,2006,13,1,0,000
72,Puerto Rico,95819,2007,13,1,0,000
72,Puerto Rico,98310,2008,13,1,0,000
72,Puerto Rico,88472,2000,13,2,0,000
72,Puerto Rico,91207,2001,13,2,0,000
72,Puerto Rico,94276,2002,13,2,0,000
72,Puerto Rico,97146,2003,13,2,0,000
72,Puerto Rico,100220,2004,13,2,0,000
72,Puerto Rico,105019,2005,13,2,0,000
72,Puerto Rico,109314,2006,13,2,0,000
72,Puerto Rico,112832,2007,13,2,0,000
72,Puerto Rico,115798,2008,13,2,0,000
72,Puerto Rico,138733,2000,14,0,0,000
72,Puerto Rico,142270,2001,14,0,0,000
72,Puerto Rico,146345,2002,14,0,0,000
72,Puerto Rico,150891,2003,14,0,0,000
72,Puerto Rico,153608,2004,14,0,0,000
72,Puerto Rico,156380,2005,14,0,0,000
72,Puerto Rico,160683,2006,14,0,0,000
72,Puerto Rico,165726,2007,14,0,0,000
72,Puerto Rico,170852,2008,14,0,0,000
72,Puerto Rico,63339,2000,14,1,0,000
72,Puerto Rico,65271,2001,14,1,0,000
72,Puerto Rico,67270,2002,14,1,0,000
72,Puerto Rico,69506,2003,14,1,0,000
72,Puerto Rico,70519,2004,14,1,0,000
72,Puerto Rico,71626,2005,14,1,0,000
72,Puerto Rico,73438,2006,14,1,0,000
72,Puerto Rico,75619,2007,14,1,0,000
72,Puerto Rico,77970,2008,14,1,0,000
72,Puerto Rico,75394,2000,14,2,0,000
72,Puerto Rico,76999,2001,14,2,0,000
72,Puerto Rico,79075,2002,14,2,0,000
72,Puerto Rico,81385,2003,14,2,0,000
72,Puerto Rico,83089,2004,14,2,0,000
72,Puerto Rico,84754,2005,14,2,0,000
72,Puerto Rico,87245,2006,14,2,0,000
72,Puerto Rico,90107,2007,14,2,0,000
72,Puerto Rico,92882,2008,14,2,0,000
72,Puerto Rico,109774,2000,15,0,0,000
72,Puerto Rico,112339,2001,15,0,0,000
72,Puerto Rico,114822,2002,15,0,0,000
72,Puerto Rico,116958,2003,15,0,0,000
72,Puerto Rico,122210,2004,15,0,0,000
72,Puerto Rico,125125,2005,15,0,0,000
72,Puerto Rico,127918,2006,15,0,0,000
72,Puerto Rico,131102,2007,15,0,0,000
72,Puerto Rico,134659,2008,15,0,0,000
72,Puerto Rico,48960,2000,15,1,0,000
72,Puerto Rico,50030,2001,15,1,0,000
72,Puerto Rico,51266,2002,15,1,0,000
72,Puerto Rico,52275,2003,15,1,0,000
72,Puerto Rico,54682,2004,15,1,0,000
72,Puerto Rico,56296,2005,15,1,0,000
72,Puerto Rico,57865,2006,15,1,0,000
72,Puerto Rico,59460,2007,15,1,0,000
72,Puerto Rico,61201,2008,15,1,0,000
72,Puerto Rico,60814,2000,15,2,0,000
72,Puerto Rico,62309,2001,15,2,0,000
72,Puerto Rico,63556,2002,15,2,0,000
72,Puerto Rico,64683,2003,15,2,0,000
72,Puerto Rico,67528,2004,15,2,0,000
72,Puerto Rico,68829,2005,15,2,0,000
72,Puerto Rico,70053,2006,15,2,0,000
72,Puerto Rico,71642,2007,15,2,0,000
72,Puerto Rico,73458,2008,15,2,0,000
72,Puerto Rico,85145,2000,16,0,0,000
72,Puerto Rico,86712,2001,16,0,0,000
72,Puerto Rico,88304,2002,16,0,0,000
72,Puerto Rico,89817,2003,16,0,0,000
72,Puerto Rico,89910,2004,16,0,0,000
72,Puerto Rico,91983,2005,16,0,0,000
72,Puerto Rico,93965,2006,16,0,0,000
72,Puerto Rico,95891,2007,16,0,0,000
72,Puerto Rico,97503,2008,16,0,0,000
72,Puerto Rico,36640,2000,16,1,0,000
72,Puerto Rico,37247,2001,16,1,0,000
72,Puerto Rico,37905,2002,16,1,0,000
72,Puerto Rico,38493,2003,16,1,0,000
72,Puerto Rico,38658,2004,16,1,0,000
72,Puerto Rico,39637,2005,16,1,0,000
72,Puerto Rico,40479,2006,16,1,0,000
72,Puerto Rico,41463,2007,16,1,0,000
72,Puerto Rico,42200,2008,16,1,0,000
72,Puerto Rico,48505,2000,16,2,0,000
72,Puerto Rico,49465,2001,16,2,0,000
72,Puerto Rico,50399,2002,16,2,0,000
72,Puerto Rico,51324,2003,16,2,0,000
72,Puerto Rico,51252,2004,16,2,0,000
72,Puerto Rico,52346,2005,16,2,0,000
72,Puerto Rico,53486,2006,16,2,0,000
72,Puerto Rico,54428,2007,16,2,0,000
72,Puerto Rico,55303,2008,16,2,0,000
72,Puerto Rico,55585,2000,17,0,0,000
72,Puerto Rico,57694,2001,17,0,0,000
72,Puerto Rico,59620,2002,17,0,0,000
72,Puerto Rico,61218,2003,17,0,0,000
72,Puerto Rico,62649,2004,17,0,0,000
72,Puerto Rico,63787,2005,17,0,0,000
72,Puerto Rico,64850,2006,17,0,0,000
72,Puerto Rico,65830,2007,17,0,0,000
72,Puerto Rico,66915,2008,17,0,0,000
72,Puerto Rico,23497,2000,17,1,0,000
72,Puerto Rico,24284,2001,17,1,0,000
72,Puerto Rico,24931,2002,17,1,0,000
72,Puerto Rico,25374,2003,17,1,0,000
72,Puerto Rico,25776,2004,17,1,0,000
72,Puerto Rico,26126,2005,17,1,0,000
72,Puerto Rico,26554,2006,17,1,0,000
72,Puerto Rico,27001,2007,17,1,0,000
72,Puerto Rico,27454,2008,17,1,0,000
72,Puerto Rico,32088,2000,17,2,0,000
72,Puerto Rico,33410,2001,17,2,0,000
72,Puerto Rico,34689,2002,17,2,0,000
72,Puerto Rico,35844,2003,17,2,0,000
72,Puerto Rico,36873,2004,17,2,0,000
72,Puerto Rico,37661,2005,17,2,0,000
72,Puerto Rico,38296,2006,17,2,0,000
72,Puerto Rico,38829,2007,17,2,0,000
72,Puerto Rico,39461,2008,17,2,0,000
72,Puerto Rico,48643,2000,18,0,0,000
72,Puerto Rico,49244,2001,18,0,0,000
72,Puerto Rico,50279,2002,18,0,0,000
72,Puerto Rico,51614,2003,18,0,0,000
72,Puerto Rico,53253,2004,18,0,0,000
72,Puerto Rico,54898,2005,18,0,0,000
72,Puerto Rico,56695,2006,18,0,0,000
72,Puerto Rico,58570,2007,18,0,0,000
72,Puerto Rico,60722,2008,18,0,0,000
72,Puerto Rico,19252,2000,18,1,0,000
72,Puerto Rico,19307,2001,18,1,0,000
72,Puerto Rico,19532,2002,18,1,0,000
72,Puerto Rico,19915,2003,18,1,0,000
72,Puerto Rico,20427,2004,18,1,0,000
72,Puerto Rico,20932,2005,18,1,0,000
72,Puerto Rico,21513,2006,18,1,0,000
72,Puerto Rico,22089,2007,18,1,0,000
72,Puerto Rico,22730,2008,18,1,0,000
72,Puerto Rico,29391,2000,18,2,0,000
72,Puerto Rico,29937,2001,18,2,0,000
72,Puerto Rico,30747,2002,18,2,0,000
72,Puerto Rico,31699,2003,18,2,0,000
72,Puerto Rico,32826,2004,18,2,0,000
72,Puerto Rico,33966,2005,18,2,0,000
72,Puerto Rico,35182,2006,18,2,0,000
72,Puerto Rico,36481,2007,18,2,0,000
72,Puerto Rico,37992,2008,18,2,0,000
72,Puerto Rico,222319,2010,1,0,0,000
72,Puerto Rico,238054,2010,2,0,0,000
72,Puerto Rico,267469,2010,3,0,0,000
72,Puerto Rico,282899,2010,4,0,0,000
72,Puerto Rico,262165,2010,5,0,0,000
72,Puerto Rico,242469,2010,6,0,0,000
72,Puerto Rico,247783,2010,7,0,0,000
72,Puerto Rico,240281,2010,8,0,0,000
72,Puerto Rico,241688,2010,9,0,0,000
72,Puerto Rico,247830,2010,10,0,0,000
72,Puerto Rico,239775,2010,11,0,0,000
72,Puerto Rico,223990,2010,12,0,0,000
72,Puerto Rico,217919,2010,13,0,0,000
72,Puerto Rico,177414,2010,14,0,0,000
72,Puerto Rico,137016,2010,15,0,0,000
72,Puerto Rico,101499,2010,16,0,0,000
72,Puerto Rico,67567,2010,17,0,0,000
72,Puerto Rico,63388,2010,18,0,0,000
72,Puerto Rico,113948,2010,1,1,0,000
72,Puerto Rico,122270,2010,2,1,0,000
72,Puerto Rico,136801,2010,3,1,0,000
72,Puerto Rico,144217,2010,4,1,0,000
72,Puerto Rico,131268,2010,5,1,0,000
72,Puerto Rico,117769,2010,6,1,0,000
72,Puerto Rico,119411,2010,7,1,0,000
72,Puerto Rico,115433,2010,8,1,0,000
72,Puerto Rico,114787,2010,9,1,0,000
72,Puerto Rico,115450,2010,10,1,0,000
72,Puerto Rico,110657,2010,11,1,0,000
72,Puerto Rico,102341,2010,12,1,0,000
72,Puerto Rico,99948,2010,13,1,0,000
72,Puerto Rico,81028,2010,14,1,0,000
72,Puerto Rico,62033,2010,15,1,0,000
72,Puerto Rico,43976,2010,16,1,0,000
72,Puerto Rico,27843,2010,17,1,0,000
72,Puerto Rico,23602,2010,18,1,0,000
72,Puerto Rico,108371,2010,1,2,0,000
72,Puerto Rico,115784,2010,2,2,0,000
72,Puerto Rico,130668,2010,3,2,0,000
72,Puerto Rico,138682,2010,4,2,0,000
72,Puerto Rico,130897,2010,5,2,0,000
72,Puerto Rico,124700,2010,6,2,0,000
72,Puerto Rico,128372,2010,7,2,0,000
72,Puerto Rico,124848,2010,8,2,0,000
72,Puerto Rico,126901,2010,9,2,0,000
72,Puerto Rico,132380,2010,10,2,0,000
72,Puerto Rico,129118,2010,11,2,0,000
72,Puerto Rico,121649,2010,12,2,0,000
72,Puerto Rico,117971,2010,13,2,0,000
72,Puerto Rico,96386,2010,14,2,0,000
72,Puerto Rico,74983,2010,15,2,0,000
72,Puerto Rico,57523,2010,16,2,0,000
72,Puerto Rico,39724,2010,17,2,0,000
72,Puerto Rico,39786,2010,18,2,0,000
72,Puerto Rico,213461,2011,1,0,0,000
72,Puerto Rico,228909,2011,2,0,0,000
72,Puerto Rico,259845,2011,3,0,0,000
72,Puerto Rico,274958,2011,4,0,0,000
72,Puerto Rico,264093,2011,5,0,0,000
72,Puerto Rico,233990,2011,6,0,0,000
72,Puerto Rico,243564,2011,7,0,0,000
72,Puerto Rico,234603,2011,8,0,0,000
72,Puerto Rico,237765,2011,9,0,0,000
72,Puerto Rico,245772,2011,10,0,0,000
72,Puerto Rico,238218,2011,11,0,0,000
72,Puerto Rico,224719,2011,12,0,0,000
72,Puerto Rico,215591,2011,13,0,0,000
72,Puerto Rico,184524,2011,14,0,0,000
72,Puerto Rico,139945,2011,15,0,0,000
72,Puerto Rico,104020,2011,16,0,0,000
72,Puerto Rico,69339,2011,17,0,0,000
72,Puerto Rico,65416,2011,18,0,0,000
72,Puerto Rico,109273,2011,1,1,0,000
72,Puerto Rico,117830,2011,2,1,0,000
72,Puerto Rico,133296,2011,3,1,0,000
72,Puerto Rico,140690,2011,4,1,0,000
72,Puerto Rico,132905,2011,5,1,0,000
72,Puerto Rico,114401,2011,6,1,0,000
72,Puerto Rico,117297,2011,7,1,0,000
72,Puerto Rico,112635,2011,8,1,0,000
72,Puerto Rico,113428,2011,9,1,0,000
72,Puerto Rico,114768,2011,10,1,0,000
72,Puerto Rico,110266,2011,11,1,0,000
72,Puerto Rico,102603,2011,12,1,0,000
72,Puerto Rico,98590,2011,13,1,0,000
72,Puerto Rico,84114,2011,14,1,0,000
72,Puerto Rico,63207,2011,15,1,0,000
72,Puerto Rico,45248,2011,16,1,0,000
72,Puerto Rico,28641,2011,17,1,0,000
72,Puerto Rico,24249,2011,18,1,0,000
72,Puerto Rico,104188,2011,1,2,0,000
72,Puerto Rico,111079,2011,2,2,0,000
